WEEKLY SCORECARD — koblet til motoren (fyll inn hver fredag);;;;;;;;
STYR PÅ ÉN LINJE: provisjon ex mva (hovedmålet). Leading-kolonnene forklarer NESTE måneds provisjon (salgstid ~89 dg). «H2-rest» = (mål − levert)/uker igjen — oppdater ukentlig.;;;;;;;;
Befaring-målet bruker 68 % PROXY-vinnrate. Rekrutteringsstatus er fast punkt i ukemøtet.;;;;;;;;
Uke;Nye prospects;Befaringer;Signerte oppdrag;Båter solgt;Provisjon ex mva;Publisert ≤7 dg;Actions neste uke;R/G/G
Type;LEADING;LEADING;LEADING;LAGGING;★ HOVEDMÅL;KONTROLL;;
MÅL: H2-rest (per uke);8.7613;4.3806;2.9788;2.2914;133761;1;;
Til info: År 1-behovet 2027 (per uke);25.62;12.81;8.7108;6.7006;391149;1;;
36;;;;;;;;
37;;;;;;;;
38;;;;;;;;
39;;;;;;;;
40;;;;;;;;
41;;;;;;;;
42;;;;;;;;
43;;;;;;;;
44;;;;;;;;
45;;;;;;;;
46;;;;;;;;
47;;;;;;;;
48;;;;;;;;
49;;;;;;;;
50;;;;;;;;
51;;;;;;;;
52;;;;;;;;
Fast ukemøte (30–45 min): 1) radene mot H2-rest-målet, 2) rød/gul/grønn, 3) 1–3 actions, 4) rekrutteringsstatus.;;;;;;;;
Definisjoner: Nye prospects = deals opprettet i Pipeline A. Befaringer = holdte. Signerte = Vunnet i A. Provisjon = oppgjørsliste ex mva.;;;;;;;;
