Salgsdato;Oppdragsnr;Båttype;Provisjon inkl mva (PO);Fakturadato (PO);Bokført betalt (proxy);Overtakelsesdato (FYLL INN);Faktisk bankdato (FYLL INN);Lag salg→faktura (d);Lag salg→bokført (d);Avvik/blokkering (FYLL INN)
2025-02-07;23037;Grand Banks 45 Eastbay;216000;2025-04-22;2025-05-06;;;74;88;
2025-02-10;24063;Windy 28 Ghibli;36000;2025-02-14;2025-02-18;;;4;8;
2025-03-21;25006;Goldfish 28 Bullet;71520;2025-05-02;2025-05-06;;;42;46;
2025-03-25;25011;Dufour 385 GL;40512;2025-04-09;2025-05-06;;;15;42;
2025-03-25;25013;Rupert R6;36000;2025-04-05;2025-05-06;;;11;42;
2025-04-10;23035;Goldfish 30 Sport;81600;2025-05-19;2025-06-04;;;39;55;
2025-04-23;25003;Goldfish 30 Sport;40000;2025-04-24;2025-05-06;;;1;13;
2025-04-24;24064;Goldfish 30 Sport T-Top;58000;2025-05-19;2025-06-04;;;25;41;
2025-05-03;25014;Goldfish 28 Tender;45600;2025-05-12;2025-06-04;;;9;32;
2025-05-05;24010;Hydrolift X-26S-R;66000;2025-06-02;2025-06-04;;;28;30;
2025-05-15;25016;Nimbus 230R;40653;2025-05-26;2025-06-04;;;11;20;
2025-05-16;25029;Nimbus 230R;36165;2025-05-26;2025-06-04;;;10;19;
2025-05-19;24023;Goldfish 30 Sport;84000;2025-06-20;2025-08-28;;;32;101;
2025-05-23;24005;Hanse 388;96426;2025-06-17;2025-08-28;;;25;97;
2025-05-23;25025;Fjord Terne 28;36160;2025-06-03;2025-06-04;;;11;12;
2025-05-23;25039;Baltic 52;168198;2025-06-13;2025-08-12;;;21;81;
2025-05-24;25015;Swan 48;185145;2025-06-10;2025-08-28;;;17;96;
2025-05-27;25038;Hydrolift S24 Diablo;36000;2025-06-10;2025-08-28;;;14;93;
2025-05-28;25048;Hydrolift X-26S-R;83992;2025-06-20;2025-08-28;;;23;92;
2025-06-04;25018;Axopar 25 X-bow;35978;2025-06-10;2025-08-12;;;6;69;
2025-06-06;25022;Goldfish 28 Tender;18000;2025-06-06;2025-08-28;;;0;83;
2025-06-07;25019;Sweden Yachts 38;54141;2025-06-13;2025-08-28;;;6;82;
2025-06-10;24038;Axopar 28 Open;40560;2025-06-16;2025-08-28;;;6;79;
2025-06-10;25037;Cormate 23 SU;39360;2025-06-16;2025-08-28;;;6;79;
2025-06-12;24031;Axopar 37 XC;150719;2025-06-30;2025-08-28;;;18;77;
2025-06-12;24043;Paragon 31 Fly;88875;2025-10-06;2025-10-06;;;116;116;
2025-06-17;25041;Goldfish 28 Bullet;40000;2025-06-30;2025-08-28;;;13;72;
2025-06-18;25036;Windy 28 Ghibli;36000;2025-06-20;2025-08-28;;;2;71;
2025-06-21;25045;Axopar 28 Open;43015;2025-06-30;2025-08-28;;;9;68;
2025-06-24;25010;Seaside 23;37661;2025-06-30;2025-08-28;;;6;65;
2025-06-25;25042;Hallberg Rassy 43;168000;2025-07-10;2025-08-28;;;15;64;
2025-06-27;25009;Nimbus 230R;42639;2025-07-13;2025-08-28;;;16;62;
2025-06-27;25020;Scand Baltic 28;36311;2025-07-07;2025-08-28;;;10;62;
2025-06-27;25024;Princess 415;49645;2025-07-23;2025-08-28;;;26;62;
2025-07-01;23038;Nimbus W9;69600;2025-07-10;2025-08-28;;;9;58;
2025-07-04;25004;Askeladden C83;60613;2025-08-15;2025-08-28;;;42;55;
2025-07-21;25017;Sandvik 945;38458;2025-07-23;2025-08-28;;;2;38;
2025-07-22;25032;Cranchi 28 CSL;30965;2025-08-04;2025-08-28;;;13;37;
2025-07-23;25028;Windy 28 Ghibli;40320;2025-07-28;2025-08-28;;;5;36;
2025-07-24;25002;Goldfish 28 Tender;62000;2025-07-28;2025-08-28;;;4;35;
2025-07-25;25031;Skorgenes 445 Sonic;158400;2025-08-08;2025-08-28;;;14;34;
2025-07-25;25047;Bavaria CR41;100800;2025-08-04;2025-08-28;;;10;34;
2025-07-25;25059;Bavaria 37 Cruiser;18240;2025-08-21;2025-08-28;;;27;34;
2025-07-30;25030;Windy 35 Khamsin;58000;2025-08-01;2025-08-28;;;2;29;
2025-07-31;25021;Fjord Terne 24;36893;2025-08-07;2025-08-28;;;7;28;
2025-07-31;25054;Paragon 25 Cabin;37720;2025-08-14;2025-08-28;;;14;28;
2025-08-06;25046;Grandezza 31 OC;55377;2025-08-15;2025-08-28;;;9;22;
2025-08-13;25040;Capelli 900 WA;37148;2025-08-19;2025-08-28;;;6;15;
2025-08-20;25069;Nimbus 230R;36134;2025-08-26;2025-08-28;;;6;8;
2025-08-21;25058;Fairline Targa 37;49438;2025-09-01;2025-09-04;;;11;14;
2025-08-26;21026;Carmen IV;50000;2025-12-16;2026-02-05;;;112;163;
2025-08-28;25005;Cormate 35 Chase;115200;2025-09-13;2025-09-22;;;16;25;
2025-08-29;25062;Goldfish 30 Sport;76800;2025-10-29;2025-11-05;;;61;68;
2025-09-01;25034;Nimbus W9 T-Top;71734;2025-09-18;2025-09-22;;;17;21;
2025-09-04;25007;Grand Banks 52;237200;2025-09-25;2025-10-06;;;21;32;
2025-09-08;25074;Nidelv 300 Sport;36090;2025-09-16;2025-09-22;;;8;14;
2025-09-12;25035;Hydrolift X-26S;64796;2025-10-14;2026-02-10;;;32;151;
2025-09-12;25051;Jeanneau S.O 36i;46167;2025-10-02;2025-10-06;;;20;24;
2025-09-17;25070;Elan Power 35 HT;57600;2025-10-27;2025-11-05;;;40;49;
2025-09-17;25073;Nordkapp 905 Grand Coupe;66535;2025-10-01;2025-10-06;;;14;19;
2025-09-22;25068;Dufour 44;52976;2025-09-29;2025-10-06;;;7;14;
2025-09-30;25066;Fjord Terne 28;36212;2025-10-09;2025-11-05;;;9;36;
2025-10-10;25084;Goldfish 28 Tender;55440;2025-10-22;2025-11-05;;;12;26;
2025-10-20;25033;Ibiza 811 Touring;48348;2025-10-29;2025-11-05;;;9;16;
2025-10-20;25087;Fjord Terne 28;36000;2025-11-11;2025-12-08;;;22;49;
2025-10-23;25071;Paragon 25 Cabin;21194;2026-01-02;2026-02-05;;;71;105;
2025-10-29;25057;Beneteau Oceanis 37;50942;2025-11-04;2025-11-05;;;6;7;
2025-10-29;25090;Goldfish 28 Tender;53093;2025-11-14;2025-12-08;;;16;40;
2025-11-17;25091;Colin Archer 40;43200;2025-12-08;2026-02-05;;;21;80;
2025-11-21;25053;Fairline Squadron 55;160694;2025-11-28;2025-12-08;;;7;17;
2025-11-26;25076;Skorgenes 350 FB;62625;2026-02-13;2026-03-27;;;79;121;
2025-11-27;25092;Cranchi 47 Mediterranee;82693;2026-01-23;2026-02-05;;;57;70;
2025-12-03;25001;Nordic Oceancraft 50;120909;2026-03-03;2026-04-30;;;90;148;
2025-12-09;25086;Nord West 370 Coupe;88700;2025-12-17;2026-02-05;;;8;58;
2025-12-17;25077;Ibiza 811;38400;2026-01-01;2026-02-05;;;15;50;
2026-02-09;25088;Nimbus 300R;53160;2026-05-14;;;;94;;
2026-02-11;25089;Delphia 40.3;44262;2026-03-25;2026-04-30;;;42;78;
2026-02-24;26001;Axopar 28 Cabin Brabus;73593;2026-04-16;;;;51;;
2026-03-04;25080;Bavaria 35 Sport;45730;2026-04-21;;;;48;;
2026-03-05;26007;Goldfish 30 Sport;95000;2026-04-29;;;;55;;
2026-03-11;26009;Nimbus 230R;13169;2026-05-11;;;;61;;
2026-03-12;26002;Cormate SU23;42720;2026-03-18;2026-04-30;;;6;49;
2026-03-15;25061;Hanse 388;7751;2026-05-18;;;;64;;
2026-03-19;26004;Ibiza 811;55200;2026-04-28;;;;40;;
2026-03-19;26011;Axopar 28 Cabin;23200;2026-03-30;2026-04-30;;;11;42;
2026-03-24;25072;Nordkapp 905;56850;2026-05-05;;;;42;;
2026-03-27;26003;Nord West 370 Fly;87360;2026-04-21;;;;25;;
