Land,Klikk,Visninger,Klikkfrekvens,Plassering
Norge,12163,286125,4.25%,8.71
Sverige,352,9322,3.78%,31.11
Danmark,165,4977,3.32%,29.8
Nederland,150,3630,4.13%,28.02
Storbritannia,125,4665,2.68%,32.7
Tyskland,81,5132,1.58%,32.57
Spania,71,1790,3.97%,20.42
Finland,66,946,6.98%,21.39
Italia,46,2011,2.29%,35.25
USA,45,16036,0.28%,31.52
Frankrike,39,1458,2.67%,28.4
Polen,21,708,2.97%,19.39
Belgia,20,1169,1.71%,9.73
Tyrkia,20,968,2.07%,26.51
Hellas,19,492,3.86%,15.38
Sveits,19,302,6.29%,21.37
Kroatia,17,283,6.01%,15.12
Portugal,15,253,5.93%,17.63
Litauen,14,259,5.41%,23.9
Slovenia,12,107,11.21%,25.09
Canada,11,846,1.3%,30.58
Estland,9,133,6.77%,16.35
Australia,7,365,1.92%,34.82
Færøyene,7,134,5.22%,6.57
Grønland,7,103,6.8%,13.83
Russland,6,2920,0.21%,36.58
Ukjent Region,5,248,2.02%,29.67
Østerrike,5,170,2.94%,23.76
Bulgaria,5,163,3.07%,27.88
Latvia,5,102,4.9%,19.06
Nigeria,5,53,9.43%,29.53
Indonesia,4,569,0.7%,37.48
Irland,4,331,1.21%,27.14
New Zealand,4,79,5.06%,31.14
Argentina,3,640,0.47%,35.36
Romania,3,212,1.42%,28.54
Serbia,3,162,1.85%,22.35
Ungarn,3,115,2.61%,30.77
Israel,3,94,3.19%,36.2
Hongkong,3,74,4.05%,22.3
Malta,3,56,5.36%,27.54
Åland,3,34,8.82%,7.21
Monaco,3,28,10.71%,12.89
Brasil,2,7648,0.03%,36.42
India,2,2117,0.09%,35.24
Vietnam,2,1024,0.2%,38.04
Mexico,2,563,0.36%,38.08
Ukraina,2,537,0.37%,36.74
Japan,2,416,0.48%,35.55
Taiwan,2,413,0.48%,35.17
Pakistan,2,363,0.55%,35.53
Thailand,2,268,0.75%,28.86
De forente arabiske emirater,2,139,1.44%,28.53
Tsjekkia,2,127,1.57%,22.83
Island,2,97,2.06%,13.42
Barbados,2,90,2.22%,34.98
Albania,2,71,2.82%,26.52
Costa Rica,2,62,3.23%,38.5
Svalbard og Jan Mayen,2,59,3.39%,6.76
Malaysia,1,447,0.22%,37.27
Sør-Afrika,1,427,0.23%,32.95
Marokko,1,234,0.43%,36
Singapore,1,160,0.62%,29.09
Peru,1,120,0.83%,36.88
Aserbajdsjan,1,65,1.54%,34.6
Montenegro,1,47,2.13%,15.68
Libanon,1,39,2.56%,35.51
Kina,1,27,3.7%,13.78
Luxembourg,1,25,4%,10.68
Seychellene,1,10,10%,32.5
St. Vincent og Grenadinene,1,6,16.67%,13.33
Sør-Korea,0,2004,0%,33.72
Filippinene,0,532,0%,36.52
Bangladesh,0,435,0%,42.09
Egypt,0,355,0%,35.25
Saudi-Arabia,0,352,0%,34.35
Ecuador,0,346,0%,38.96
Irak,0,286,0%,36.85
Colombia,0,249,0%,37.29
Venezuela,0,232,0%,35.03
Usbekistan,0,160,0%,34.12
Chile,0,143,0%,37.17
Kasakhstan,0,142,0%,35.72
Algerie,0,138,0%,34.64
Iran,0,136,0%,29.2
Kypros,0,120,0%,21.83
Jordan,0,119,0%,38.86
Kenya,0,117,0%,34.68
Tunis,0,117,0%,36.05
Nepal,0,116,0%,34.22
Belarus,0,111,0%,43.92
Den dominikanske republikk,0,110,0%,37.35
Trinidad og Tobago,0,110,0%,38.09
Paraguay,0,110,0%,38.27
Uruguay,0,95,0%,36.96
Bosnia og Herzegovina,0,81,0%,34.23
Jamaica,0,74,0%,40.73
Georgia,0,56,0%,33.75
Slovakia,0,49,0%,31.59
Oman,0,48,0%,29.81
Kuwait,0,46,0%,32.67
Bolivia,0,45,0%,46.56
Moldova,0,44,0%,42.82
Bahrain,0,40,0%,33.45
Panama,0,40,0%,37.15
Sri Lanka,0,38,0%,30.26
Kirgisistan,0,35,0%,26.51
Qatar,0,35,0%,33.26
Etiopia,0,35,0%,42.77
Myanmar (Burma),0,33,0%,37.24
Kambodsja,0,33,0%,41.36
Honduras,0,33,0%,44.45
Bahamas,0,31,0%,29.16
Syria,0,31,0%,35.94
Palestina,0,30,0%,34.77
Senegal,0,30,0%,43.53
Puerto Rico,0,29,0%,37.24
Guyana,0,26,0%,33.5
Elfenbenskysten,0,26,0%,45.27
Guatemala,0,26,0%,48.23
Armenia,0,24,0%,31.62
El Salvador,0,22,0%,37.55
Ghana,0,21,0%,23.81
Tanzania,0,19,0%,24.84
Angola,0,16,0%,24
Grenada,0,16,0%,37.19
Brunei,0,16,0%,38.5
Mauritius,0,15,0%,23.67
Antigua og Barbuda,0,14,0%,20.5
Makedonia,0,14,0%,22.86
Nicaragua,0,14,0%,46.07
Libya,0,13,0%,28.92
Maldivene,0,12,0%,17.67
Kapp Verde,0,12,0%,29.42
Belize,0,12,0%,33.58
Gabon,0,12,0%,39.25
Andorra,0,10,0%,30.1
Surinam,0,10,0%,42.7
Uganda,0,9,0%,28.22
Isle of Man,0,9,0%,29.44
St. Lucia,0,9,0%,38.67
Togo,0,9,0%,40.33
Mongolia,0,9,0%,54.56
Kongo-Kinshasa,0,8,0%,28.25
Botswana,0,8,0%,29.5
St. Kitts og Nevis,0,8,0%,33.12
Burkina Faso,0,8,0%,49.25
Zambia,0,7,0%,23.71
Kosovo,0,7,0%,34.43
Bermuda,0,7,0%,37.57
Caymanøyene,0,7,0%,38.43
Laos,0,6,0%,10.33
Gibraltar,0,6,0%,16.83
Kamerun,0,6,0%,22
Sierra Leone,0,6,0%,22.33
Madagaskar,0,6,0%,31.5
Kongo-Brazzaville,0,6,0%,35.67
Benin,0,5,0%,24
Sint Maarten,0,5,0%,28.4
Rwanda,0,5,0%,30.6
Jemen,0,5,0%,37.8
Jersey,0,5,0%,51.6
Reunion,0,4,0%,8.75
Zimbabwe,0,4,0%,15.75
Haiti,0,4,0%,23
Martinique,0,4,0%,24.25
Guernsey,0,4,0%,29
Cuba,0,4,0%,33.25
Mosambik,0,4,0%,35.5
Malawi,0,4,0%,62
Somalia,0,3,0%,9.67
Curaçao,0,3,0%,14
Mauritania,0,3,0%,16
Turks- og Caicosøyene,0,3,0%,24.33
De britiske jomfruøyene,0,3,0%,25.33
Namibia,0,3,0%,33.33
Mali,0,3,0%,53.33
Sudan,0,2,0%,7.5
Afghanistan,0,2,0%,17
Guadeloupe,0,2,0%,28.5
Aruba,0,2,0%,30.5
Bhutan,0,2,0%,38.5
Anguilla,0,2,0%,41.5
Gambia,0,2,0%,42.5
Fiji,0,2,0%,48
Dominica,0,2,0%,53.5
St. Barthélemy,0,1,0%,1
St. Martin,0,1,0%,2
Liberia,0,1,0%,7
Liechtenstein,0,1,0%,10
Ny-Caledonia,0,1,0%,10
St. Pierre og Miquelon,0,1,0%,12
Turkmenistan,0,1,0%,19
Niger,0,1,0%,24
Montserrat,0,1,0%,34
São Tomé og Príncipe,0,1,0%,42
Guinea,0,1,0%,53
Amerikansk Samoa,0,1,0%,62
Macau,0,1,0%,85
