priority,category,source_path,destination,clicks_16mnd,impressions_16mnd,avg_position,notes
A,HOMEPAGE,/,/,2660,41867,12.49,Homepage — redirect to new root
A,HOMEPAGE,/,/,760,25109,8.52,Homepage — redirect to new root
A,BOAT_INDEX,/baater,/buy,456,47338,10.12,Boat index → /buy
A,ABOUT,/om-oss,/om-oss,298,20380,9.32,Must recreate /om-oss page
B,BLOG_POST_KEEP,/post/kjøp-av-båt-i-utlandet,/blog/kjøp-av-båt-i-utlandet,233,13017,22.17,High-traffic blog — migrate to new blog
A,BOAT_MATCH,/Baater/fjord-terne-24,/boat/fjord-terne-24,213,4784,5.79,Match — direct 301 to new /boat/ page
B,BLOG_POST_KEEP,/post/huskeliste-kjøp-av-bruktbåt,/blog/huskeliste-kjøp-av-bruktbåt,209,6137,15.05,High-traffic blog — migrate to new blog
A,BOAT_MATCH,/Baater/nimbus-300r,/boat/nimbus-300r,200,2332,15.23,Match — direct 301 to new /boat/ page
A,BOAT_RECREATE,/Baater/nimbus-250-r,/boat/nimbus-250-r,192,2124,13.67,High-traffic unmatched — RECREATE in HubSpot as sold
A,BOAT_RECREATE,/Baater/seabreacher-z,/boat/seabreacher-z,191,1211,7.46,High-traffic unmatched — RECREATE in HubSpot as sold
A,BOAT_MATCH,/Baater/sandvik-945,/boat/sandvik-945,185,5190,9.76,Match — direct 301 to new /boat/ page
DEFER,ENGLISH,/en,/en,173,6953,7.48,Bilingual workstream — defer until NO/EN setup
A,BOAT_RECREATE,/Baater/nimbus-230-r,/boat/nimbus-230-r,168,2676,13.16,High-traffic unmatched — RECREATE in HubSpot as sold
A,BOAT_MATCH,/Baater/riva-dolceriva-48,/boat/riva-dolceriva-48,166,8188,13.37,Match — direct 301 to new /boat/ page
B,MODEL_LANDING,/nimbus250,/buy?filter=nimbus,165,5214,13.97,Model-specific landing page
A,BOAT_MATCH,/Baater/scand-baltic-29,/boat/scand-baltic-29,163,8866,10.58,Match — direct 301 to new /boat/ page
A,BOAT_RECREATE,/Baater/riviera-925-fly,/boat/riviera-925-fly,163,4294,5.86,High-traffic unmatched — RECREATE in HubSpot as sold
A,BOAT_RECREATE,/Baater/nordkapp-760-noblesse,/boat/nordkapp-760-noblesse,162,3935,8.4,High-traffic unmatched — RECREATE in HubSpot as sold
DEFER,ENGLISH,/en/Baater/m/y-in-excess,/en/Baater/m/y-in-excess,159,966,5.19,Bilingual workstream — defer until NO/EN setup
A,BOAT_RECREATE,/Baater/windy-7500,/boat/windy-7500,139,2464,5.97,High-traffic unmatched — RECREATE in HubSpot as sold
A,BOAT_MATCH,/Baater/nidelv-725-sport,/boat/nidelv-725-sport,138,2548,7.7,Match — direct 301 to new /boat/ page
DEFER,ENGLISH,/en/Baater/goldfish-50-ocean,/en/Baater/goldfish-50-ocean,127,3153,10.06,Bilingual workstream — defer until NO/EN setup
A,BOAT_RECREATE,/Baater/arctic-blue-27-mkii,/boat/arctic-blue-27-mkii,121,3456,25.9,High-traffic unmatched — RECREATE in HubSpot as sold
A,BOAT_MATCH,/Baater/goldfish-50-ocean,/boat/goldfish-50-ocean,119,2511,5.61,Match — direct 301 to new /boat/ page
A,BOAT_RECREATE,/Baater/beneteau-swift-trawler-34,/boat/beneteau-swift-trawler-34,117,1433,15.7,High-traffic unmatched — RECREATE in HubSpot as sold
A,BOAT_MATCH,/Baater/nimbus-35-nova-ht-,/boat/nimbus-35-nova-ht,114,2443,13.4,Match — direct 301 to new /boat/ page
DEFER,ENGLISH,/en/Baater/viksund-290/310-st.-cruz,/en/Baater/viksund-290/310-st.-cruz,107,2818,8.88,Bilingual workstream — defer until NO/EN setup
A,BOAT_MATCH,/Baater/windy-35-khamsin,/boat/windy-35-khamsin,103,3238,9.06,Match — direct 301 to new /boat/ page
DEFER,ENGLISH,/en/Baater/skorgenes-sonic-445-fly,/en/Baater/skorgenes-sonic-445-fly,103,2309,7.42,Bilingual workstream — defer until NO/EN setup
A,BOAT_RECREATE,/Baater/targa-27.1,/boat/targa-27.1,94,4463,5.58,High-traffic unmatched — RECREATE in HubSpot as sold
B,BLOG_POST_KEEP,/post/sandvik-945-for-salg,/blog/sandvik-945-for-salg,94,1836,18.62,High-traffic blog — migrate to new blog
A,BOAT_MATCH,/Baater/nimbus-230r,/boat/nimbus-230r,92,2140,16.87,Match — direct 301 to new /boat/ page
A,BOAT_RECREATE,/Baater/windy-44-chinook,/boat/windy-44-chinook,86,1366,9.41,High-traffic unmatched — RECREATE in HubSpot as sold
A,BOAT_INDEX_LEGACY,/BaaterTilSalgs,/buy,85,7490,11.39,Legacy variant → /buy
A,BOAT_MATCH,/Baater/bavaria-40-cruiser,/boat/bavaria-40-cruiser,85,4552,14.94,Match — direct 301 to new /boat/ page
A,BOAT_RECREATE,/Baater/nordic-ocean-craft-catamaran,/boat/nordic-ocean-craft-catamaran,85,1432,9.45,High-traffic unmatched — RECREATE in HubSpot as sold
A,BOAT_MATCH,/Baater/marex-280-holiday,/boat/marex-280-holiday,81,2069,24.06,Match — direct 301 to new /boat/ page
B,BLOG_POST_KEEP,/post/nidelv-725-sport-for-salg,/blog/nidelv-725-sport-for-salg,80,1856,4.91,High-traffic blog — migrate to new blog
B,BLOG_POST_KEEP,/post/hvilken-goldfish-er-best-sammenligner-3-generasjoner-goldfish-23-tender,/blog/hvilken-goldfish-er-best-sammenligner-3-generasjoner-goldfish-23-tender,74,1415,14.13,High-traffic blog — migrate to new blog
A,BOAT_MATCH,/Baater/axopar-28-cabin,/boat/axopar-28-cabin,71,4914,12.44,Match — direct 301 to new /boat/ page
A,BOAT_RECREATE,/Baater/nimbus-34-nova,/boat/nimbus-34-nova,70,1178,14.43,High-traffic unmatched — RECREATE in HubSpot as sold
A,BOAT_MATCH,/Baater/askeladden-c83-cruiser,/boat/askeladden-c83-cruiser,67,4013,10.0,Match — direct 301 to new /boat/ page
A,BOAT_RECREATE,/Baater/nimbus-320-coupé,/boat/nimbus-320-coupé,67,1611,15.85,High-traffic unmatched — RECREATE in HubSpot as sold
