wix-to-hubspot-match-report
Keep;wix_title;wix_url;wix_merke;wix_modell;wix_year;wix_length_ft;wix_sold;wix_updated;match_status;slug_matches;signature_matches;match_details
X;Bavaria 44 Vision;bavaria-44-vision;Bavaria;44 Vision;2008;44 fot;sold;2022-06-08;EXACT_SLUG_PLUS_SIG_DUPES;1;6;id=351414280411 path=bavaria-44-vision brand=Bavaria model=Bavaria 44 Vision year=2008 status=None act=yes ||| id=350048534737 path=bavaria-38-cruiser-2 brand=Bavaria model=Bavaria 38 Cruiser year=2008 status=None act=yes ||| id=351446910175 path=bavaria-38-cruiser-3 brand=Bavaria model=38 Cruiser year=2008 status=None act=yes ||| id=351419699395 path=bavaria-40-2 brand=Bavaria model=40 Cruiser year=2008 status=None act=yes ||| id=351443263679 path=bavaria-vision-44-3 brand=Bavaria model=Bavaria Vision 44 year=2008 status=None act=yes ||| id=351443293431 path=bavaria-33-sport brand=Bavaria model=33 Sport year=2008 status=None act=yes ||| id=351361856714 path=bavaria-37-sport-2 brand=Bavaria model=Bavaria 37 sport  year=2008 status=None act=yes
X;Goldfish 29 RIB Tender;goldfish-29-rib-tender;Goldfish;29 RIB Tender;2011;29 fot;;2025-08-25;EXACT_SLUG_PLUS_SIG_DUPES;1;3;id=351479078075 path=goldfish-29-rib-tender brand=Goldfish model=29 RIB Tender year=2011 status=for-sale act=yes ||| id=351479077103 path=goldfish-tender-28-nr-001 brand=Goldfish model=Tender 28 year=2011 status=sold act=yes ||| id=351390253247 path=goldfish-29-rib-tender-2 brand=Goldfish model=Goldfish 29 RIB tender year=2011 status=None act=yes ||| id=351446910184 path=goldfish-29-rib-tender-3 brand=Goldfish model=Goldfish 29 RIB Tender year=2011 status=None act=yes
;Saffier SE 33 UD;saffier-se-33-ud;Saffier Yachts;SE 33 UD;2016;31 fot;sold;2021-11-10;NO_MATCH_IN_HUBSPOT;0;0;
?;Goldfish 30 Sport;goldfish-30-sport;Goldfish;30 Sport;2022;32 fot;sold;2023-07-15;EXACT_SLUG_PLUS_SIG_DUPES;1;5;id=351481042122 path=goldfish-30-sport brand=Goldfish model=30 Sport year=2022 status=None act=yes ||| id=351481042124 path=goldfish-30-sport-2 brand=Goldfish model=30 Sport year=2022 status=None act=yes ||| id=351456244951 path=goldfish-28-tender-4 brand=Goldfish model=28 Tender year=2022 status=for-sale act=yes ||| id=351419699407 path=goldfish-28-tender-064 brand=Goldfish model=28 Tender year=2022 status=None act=yes ||| id=351443201246 path=goldfish-x9-expedition brand=Goldfish model=Goldfish X9 Expedition  year=2022 status=None act=yes ||| id=351445109976 path=goldfish-28-tender-8 brand=Goldfish model=28 Tender year=2022 status=None act=yes
;Riviera 925 Fly;riviera-925-fly;Riviera;925 Fly;2007;34 fot;sold;2024-04-10;NO_MATCH_IN_HUBSPOT;0;0;
;Hanse 548;hanse-548;Hanse;548;2019;53 fot;;2025-07-07;EXACT_SLUG_MATCH;1;0;id=351417864405 path=hanse-548 brand=Hanse model=548 year=2019 status=None act=yes
;Azimut 47 Fly;azimut-47-fly;Azimut;47 Fly;2010;47 fot;sold;2021-05-11;NO_MATCH_IN_HUBSPOT;0;0;
X;Nimbus W9;nimbus-w9;Nimbus;W9;2022;31 fot;sold;2025-07-04;EXACT_SLUG_PLUS_SIG_DUPES;1;3;id=351443201238 path=nimbus-w9 brand=Nimbus model=W9 year=2020 status=for-sale act=yes ||| id=351475307742 path=23038-nimbus-w9 brand=Nimbus model=W9 year=2022 status=None act=yes ||| id=351390252281 path=nimbus-t9-2 brand=Nimbus model=Nimbus T9 year=2022 status=None act=yes ||| id=387480814829 path=None brand=Nimbus model=None year=2022 status=None act=None
;Viksund 290/310 St. Cruz;viksund-290%2F310-st.-cruz;Viksund;290/310 St. Cruz;2000;31 fot;sold;2020-02-03;NO_MATCH_IN_HUBSPOT;0;0;
;Hydrolift X-26 S - 400R;hydrolift-x-26-s---400r;Hydrolift;X-26S;2020;26 fot;sold;2025-10-02;MULTIPLE_SIG_CANDIDATES;0;3;id=351481042126 path=24010-hydrolift-x-26s-r brand=Hydrolift model=X-26S-R year=2020 status=None act=yes ||| id=351390252277 path=hydrolift-x-26s-r brand=Hydrolift model=Hydrolift X-26S R year=2020 status=None act=yes ||| id=351443201247 path=hydrolift-x-26-s-3 brand=Hydrolift model=X-26 S year=2020 status=None act=yes
