wix_title,wix_url,wix_year,wix_updated,orig_status,deal_match,n_exact,n_loose,candidates
Bavaria 44 Vision,bavaria-44-vision,2008,2022-06-08,EXACT_SLUG_PLUS_SIG_DUPES,EXACT_1,1,0,"EXACT id=351414280411 name=""Bavaria 44 Vision"" path=bavaria-44-vision year=2008 status=None #deals=2"
Goldfish 29 RIB Tender,goldfish-29-rib-tender,2011,2025-08-25,EXACT_SLUG_PLUS_SIG_DUPES,EXACT_1,1,1,"EXACT id=351479078075 name=""Goldfish 29 rib Tender"" path=goldfish-29-rib-tender year=2011 status=for-sale #deals=1 ||| LOOSE id=351446935762 name=""Goldfish 29 RIB Tender (2009)"" path=goldfish-29-rib-tender-2009 year=2009 status=for-sale #deals=1"
Nimbus W9,nimbus-w9,2022,2025-07-04,EXACT_SLUG_PLUS_SIG_DUPES,EXACT_1,1,0,"EXACT id=351443201238 name=""Nimbus W9"" path=nimbus-w9 year=2020 status=for-sale #deals=1"
Goldfish 30 Sport - Diesel,goldfish-30-sport---diesel,2021,2025-04-25,MULTIPLE_SIG_CANDIDATES,LOOSE_MULTI,0,5,"LOOSE id=351479119073 name=""Goldfish 30 Sport - 2023"" path=goldfish-30-sport-2023 year=2023 status=None #deals=1 ||| LOOSE id=351481042122 name=""Goldfish 30 Sport"" path=goldfish-30-sport year=2022 status=None #deals=1 ||| LOOSE id=351481042124 name=""Goldfish 30 Sport"" path=goldfish-30-sport-2 year=2022 status=None #deals=1 ||| LOOSE id=351482911944 name=""Goldfish 30 Sport"" path=goldfish-30-sport-3 year=2021 status=sold #deals=1"
Nimbus 35 Nova HT,nimbus-35-nova-ht-,2005,2021-04-16,MULTIPLE_SIG_CANDIDATES,EXACT_MULTI,3,0,"EXACT id=351443213551 name=""Nimbus 35 Nova HT"" path=nimbus-35-nova-ht year=None status=None #deals=1 ||| EXACT id=351443141858 name=""Nimbus 35 Nova HT"" path=nimbus-35-nova-ht-2 year=None status=None #deals=1 ||| EXACT id=351482888429 name=""Nimbus 35 Nova HT"" path=nimbus-35-nova-ht-3 year=None status=None #deals=1"
Marex 310 Sun Cruiser,marex-310-sun-cruiser,2021,2024-01-26,EXACT_SLUG_PLUS_SIG_DUPES,NONE,0,0,
Jeanneau Cap Camarat 925 WA,jeanneau-cap-camarat-925-wa,2008,2025-10-02,EXACT_SLUG_PLUS_SIG_DUPES,EXACT_1,1,0,"EXACT id=351484705015 name=""Jeanneau Cap Camarat 925 WA"" path=jeanneau-cap-camarat-925-wa year=2008 status=None #deals=1"
Goldfish 29 Sport - 2016,goldfish-29-sport---2016,2016,2021-05-18,MULTIPLE_SIG_CANDIDATES,LOOSE_MULTI,0,3,"LOOSE id=351443213561 name=""Goldfish 29 Sport"" path=goldfish-29-sport year=None status=None #deals=1 ||| LOOSE id=351443201214 name=""Goldfish 29 Sport"" path=goldfish-29-sport-2 year=None status=None #deals=1 ||| LOOSE id=351459866843 name=""Goldfish 29 Sport"" path=goldfish-29-sport-3 year=None status=None #deals=1"
Goldfish 29 Sport - 2016,goldfish-29-sport---2016,2016,2021-11-10,MULTIPLE_SIG_CANDIDATES,LOOSE_MULTI,0,3,"LOOSE id=351443213561 name=""Goldfish 29 Sport"" path=goldfish-29-sport year=None status=None #deals=1 ||| LOOSE id=351443201214 name=""Goldfish 29 Sport"" path=goldfish-29-sport-2 year=None status=None #deals=1 ||| LOOSE id=351459866843 name=""Goldfish 29 Sport"" path=goldfish-29-sport-3 year=None status=None #deals=1"
Elan 37,elan-37,2006,2019-07-16,EXACT_SLUG_PLUS_SIG_DUPES,EXACT_1,1,0,"EXACT id=351414280409 name=""Elan 37"" path=elan-37 year=None status=None #deals=1"
