wix_title,wix_url,wix_merke,wix_modell,wix_year,wix_updated,orig_match_status,new_match_type,new_candidates
Bavaria 44 Vision,bavaria-44-vision,Bavaria,44 Vision,2008,2022-06-08,EXACT_SLUG_PLUS_SIG_DUPES,company_exact,"CO_EXACT id=6950983395 name=""Bavaria 44 Vision"" created=2023-02-01 ||| CO_EXACT id=121958913218 name=""Bavaria 44 Vision"" created=2025-03-27 ||| BO id=351414280411 name=""Bavaria 44 Vision"" path=bavaria-44-vision year=2008 ||| BO id=351484733680 name=""Bavaria 44 Vision"" path=bavaria-44-vision-2 year=None"
Goldfish 29 RIB Tender,goldfish-29-rib-tender,Goldfish,29 RIB Tender,2011,2025-08-25,EXACT_SLUG_PLUS_SIG_DUPES,company_exact,"CO_EXACT id=125064081596 name=""Goldfish 29 rib Tender"" created=2025-04-03 ||| CO_EXACT id=145792793793 name=""Goldfish 29 RIB tender"" created=2025-05-07 ||| CO_EXACT id=173974892772 name=""Goldfish 29 RIB Tender"" created=2025-06-16 ||| CO_LOOSE id=223571547376 name=""Goldfish 29 RIB Tender (2009)"" created=2025-08-25 ||| BO id=351479078075 name=""Goldfish 29 rib Tender"" path=goldfish-29-rib-tender year=2011 ||| BO id=351390253247 name=""Goldfish 29 RIB tender"" path=goldfish-29-rib-tender-2 year=2011 ||| BO id=351446910184 name=""Goldfish 29 RIB Tender"" path=goldfish-29-rib-tender-3 year=2011"
Nimbus W9,nimbus-w9,Nimbus,W9,2022,2025-07-04,EXACT_SLUG_PLUS_SIG_DUPES,company_exact,"CO_EXACT id=236497644790 name=""Nimbus W9"" created=2025-09-16 ||| BO id=351443201238 name=""Nimbus W9"" path=nimbus-w9 year=2020"
Goldfish 30 Sport - Diesel,goldfish-30-sport---diesel,Goldfish,30 Sport,2021,2025-04-25,MULTIPLE_SIG_CANDIDATES,company_loose,"CO_LOOSE id=10378409207 name=""Goldfish 30 Sport"" created=2024-03-01 ||| CO_LOOSE id=10727408600 name=""Goldfish 30 Sport"" created=2024-03-20 ||| CO_LOOSE id=205710877882 name=""Goldfish 30 Sport"" created=2025-08-04"
Nimbus 35 Nova HT,nimbus-35-nova-ht-,Nimbus,35 Nova HT,2005,2021-04-16,MULTIPLE_SIG_CANDIDATES,company_exact,"CO_EXACT id=6949536720 name=""Nimbus 35 Nova HT"" created=2023-02-01 ||| CO_EXACT id=6950960829 name=""Nimbus 35 Nova HT"" created=2023-02-01 ||| CO_EXACT id=6950987195 name=""Nimbus 35 Nova HT"" created=2023-02-01 ||| BO id=351443213551 name=""Nimbus 35 Nova HT"" path=nimbus-35-nova-ht year=None ||| BO id=351443141858 name=""Nimbus 35 Nova HT"" path=nimbus-35-nova-ht-2 year=None ||| BO id=351482888429 name=""Nimbus 35 Nova HT"" path=nimbus-35-nova-ht-3 year=None"
Marex 310 Sun Cruiser,marex-310-sun-cruiser,Marex,310 Sun Cruiser,2021,2024-01-26,EXACT_SLUG_PLUS_SIG_DUPES,company_exact,"CO_EXACT id=110097346785 name=""Marex 310 Sun Cruiser"" created=2025-03-04 ||| CO_EXACT id=235523338485 name=""Marex 310 sun Cruiser "" created=2025-09-11 ||| BO id=351443171562 name=""Marex 310 Sun Cruiser"" path=marex-310-sun-cruiser year=2021 ||| BO id=351443185875 name=""Marex 310 sun Cruiser "" path=marex-310-sun-cruiser-2 year=2018"
Jeanneau Cap Camarat 925 WA,jeanneau-cap-camarat-925-wa,Jeanneau,Cap Camarat 925 WA,2008,2025-10-02,EXACT_SLUG_PLUS_SIG_DUPES,company_exact,"CO_EXACT id=13620338673 name=""Jeanneau Cap Camarat 925 WA"" created=2024-09-03 ||| BO id=351484705015 name=""Jeanneau Cap Camarat 925 WA"" path=jeanneau-cap-camarat-925-wa year=2008"
Goldfish 29 Sport - 2016,goldfish-29-sport---2016,Goldfish,29 Sport,2016,2021-05-18,MULTIPLE_SIG_CANDIDATES,company_loose,"CO_LOOSE id=6949536716 name=""Goldfish 29 Sport"" created=2023-02-01 ||| CO_LOOSE id=6951005935 name=""Goldfish 29 Sport"" created=2023-02-01 ||| CO_LOOSE id=6951018971 name=""Goldfish 29 Sport"" created=2023-02-01"
Goldfish 29 Sport - 2016,goldfish-29-sport---2016,Goldfish,29 Sport,2016,2021-11-10,MULTIPLE_SIG_CANDIDATES,company_loose,"CO_LOOSE id=6949536716 name=""Goldfish 29 Sport"" created=2023-02-01 ||| CO_LOOSE id=6951005935 name=""Goldfish 29 Sport"" created=2023-02-01 ||| CO_LOOSE id=6951018971 name=""Goldfish 29 Sport"" created=2023-02-01"
Elan 37,elan-37,Elan,37,2006,2019-07-16,EXACT_SLUG_PLUS_SIG_DUPES,company_exact,"CO_EXACT id=6950976461 name=""Elan 37"" created=2023-02-01 ||| CO_EXACT id=161779877079 name=""Elan 37"" created=2025-05-27 ||| BO id=351414280409 name=""Elan 37"" path=elan-37 year=None ||| BO id=351484720346 name=""Elan 37"" path=elan-37-2 year=2006"
