;DRAFT;;;;;
469051683;PUBLISHED;2026-07-06;Jeanneau Sun Odyssey 40.3;2006;1190000;Jeanneau Sun Odyssey 40.3 – Velholdt turseiler med omfattend
465849917;SOLD;2026-06-03;Cormate Utility 23;2023;990000;Cormate Utility 23 - 2023 - Mercury VeradoV8 250 hk - Kun ca
469003382;PUBLISHED;2026-07-05;Riva Rivamare 38;2018;7490000;Riva Rivamare 38 - 2018 - 2 x Volvo Penta D6 - Godt utstyrt!
464987458;SOLD;2026-05-26;Nimbus 300R;2005;790000;Nimbus 300R - 2005 - D6-350HK - Oppgradert og velutstyrt!
467962002;SOLD;2026-06-24;Askeladden C83;2019;1150000;Askeladden C83 Cruiser
468771895;PUBLISHED;2026-07-03;Goldfish 29 Sport;2020;1490000;Goldfish 29 Sport - 2020 - KUN 216 timer - Godt utstyrt!
467300121;SOLD;2026-06-17;Axopar 28 Aft Cabin;2019;1150000;Axopar 28 Aft Cabin | Yamaha F350 V8 | Skipsregistrert
468638212;PUBLISHED;2026-07-01;Goldfish 30 Sport;2021;2150000;Goldfish 30 Sport - 2021 - Nydelig spec - V8 370 HK Diesel
459770435;PUBLISHED;2026-04-14;Sunseeker Predator 52;2011;5129000;Sunseeker Predator 52
468114431;PUBLISHED;2026-06-26;Nimbus T11;2022;3200000;Nimbus T11
467844702;PUBLISHED;2026-06-23;Nimbus Nova 300R;2007;890000;Nimbus Nova 300R MKII - Meget velholdt og betydelig oppgrade
420139787;PUBLISHED;2025-08-05;Goldfish 38 SuperSport;2018;2290000;Goldfish 38 Supersport - 2018 - Diesel
463736410;PUBLISHED;2026-05-15;Sunseeker Superhawk 48;1996;1049000;Sunseeker Superhawk 48
461852341;PUBLISHED;2026-05-02;Swan 53/55;1989;2950000;Nautor Swan 55 - unik moderne klassiker
461111695;SOLD;2026-04-24;Skilsø 39 Panorama;2024;5490000;Skilsø 39 Panorama - 1 eier - Yanmar og strake aksler
468140834;PUBLISHED;2026-06-26;Grand Golden Line 850;2017;679000;Grand G850 - 2 x Yamaha F200
465189315;PUBLISHED;2026-05-28;Draco RS 27;2015;835000;Ny pris - Draco 27 RS
466329492;PUBLISHED;2026-06-08;Marex 350 CC;2010;1800000;Marex 350 CC - Svært Velholdt - Storservice tatt
465941518;SOLD;2026-06-04;Beneteau Gran Turismo 38;2011;1890000;Beneteau 38 GT - Svært velholdt - Joystick - Skipsreg - Fina
461861590;PUBLISHED;2026-04-30;Quicksilver 875 Sundeck;2022;1190000;Quicksilver 875 Sundeck - Få timer! - Godt utstyrt!
465176950;PUBLISHED;2026-05-28;Dufour 385 Grand Large;2006;749000;Dufour 385GL – finans - thruster - full kalesje
458137038;PUBLISHED;2026-04-01;Storebro 420 Baltic;1994;1200000;Storebro 420 Baltic - prisreduksjon
461767727;PUBLISHED;2026-04-29;Goldfish 43 Ocean;2022;7900000;Goldfish 43 Ocean - 2022 - 2 x Yanmar 370 Diesel
422708929;PUBLISHED;2025-08-19;Seaside 23;2023;749000;SeaSide 23 - Norskbygget kvalitetsbåt - Kalesje, thruster og
423231471;PUBLISHED;2025-08-22;Goldfish 32 SC;2001;1050000;Goldfish 32 SC - 2001 - Vedlikeholdt og oppgradert
459340574;SOLD;2026-04-10;Goldfish 23 Tender MK2;2019;849000;Goldfish 23 Tender MK II
