finnkode;type;dato;verdi
463362454;BUMP;2026-05-12;
463362454;PRICE_REDUCED;2026-05-28;1190000
463362454;PRICE_REDUCED;2026-06-11;1120000
463362454;PRICE_REDUCED;2026-07-26;1080000
468114431;BUMP;2026-06-26;
458133784;BUMP;2026-04-01;
458133784;PRICE_REDUCED;2026-04-14;640000
458133784;PRICE_REDUCED;2026-05-11;620000
458133784;PRICE_REDUCED;2026-06-01;575000
458133784;PRICE_REDUCED;2026-07-29;525000
461844660;BUMP;2026-05-02;
461844660;PRICE_REDUCED;2026-06-15;5990000
460639033;BUMP;2026-04-20;
460639033;PRICE_REDUCED;2026-06-15;790000
459770435;BUMP;2026-04-14;
459770435;PRICE_REDUCED;2026-04-23;5329000
459770435;PRICE_REDUCED;2026-07-01;5129000
459770435;PRICE_REDUCED;2026-07-29;4800000
422708929;BUMP;2025-08-19;
422708929;PRICE_REDUCED;2025-09-19;849000
422708929;PRICE_REDUCED;2025-10-27;845000
422708929;BUMP;2026-03-23;
422708929;PRICE_REDUCED;2026-04-10;825000
422708929;PRICE_REDUCED;2026-06-08;750000
422708929;PRICE_REDUCED;2026-06-23;749000
423231471;BUMP;2025-08-22;
423231471;BUMP;2026-03-04;
423231471;PRICE_REDUCED;2026-06-18;1050000
423231471;PRICE_RAISED;2026-06-21;1190000
423231471;PRICE_REDUCED;2026-06-21;1050000
415726539;BUMP;2025-07-06;
415726539;BUMP;2026-01-14;
415726539;BUMP;2026-07-24;
354903797;BUMP;2025-06-17;
354903797;BUMP;2026-04-10;
354903797;PRICE_REDUCED;2026-04-15;399000
470583653;BUMP;2026-07-23;
470583653;PRICE_RAISED;2026-07-23;575000
466002110;BUMP;2026-06-05;
466002110;PRICE_REDUCED;2026-06-18;1190000
467392603;BUMP;2026-06-18;
469051683;BUMP;2026-07-06;
463243068;BUMP;2026-05-13;
463243068;PRICE_REDUCED;2026-06-15;2490000
461621633;BUMP;2026-04-29;
461621633;PRICE_REDUCED;2026-06-18;849000
467844702;BUMP;2026-06-23;
467844702;PRICE_REDUCED;2026-07-01;890000
467844702;PRICE_REDUCED;2026-07-16;840000
461852341;BUMP;2026-05-02;
418025396;BUMP;2025-07-24;
418025396;PRICE_REDUCED;2025-10-15;2490000
418025396;BUMP;2026-02-02;
426100733;BUMP;2025-09-08;
426100733;PRICE_REDUCED;2025-11-10;459000
426100733;BUMP;2026-03-15;
426100733;PRICE_REDUCED;2026-05-08;430000
426100733;PRICE_REDUCED;2026-06-18;399000
468638212;BUMP;2026-07-01;
468638212;PRICE_REDUCED;2026-07-09;2050000
470538673;BUMP;2026-07-23;
469832341;BUMP;2026-07-15;
465189315;BUMP;2026-05-28;
465189315;PRICE_REDUCED;2026-06-25;835000
468771895;BUMP;2026-07-03;
470004031;BUMP;2026-07-17;
467475728;BUMP;2026-06-19;
469003382;BUMP;2026-07-05;
469003382;PRICE_REDUCED;2026-07-19;6900000
466329492;BUMP;2026-06-08;
466329492;PRICE_REDUCED;2026-07-08;1749000
466329492;PRICE_REDUCED;2026-07-14;1690000
428888135;BUMP;2025-09-29;
428888135;PRICE_REDUCED;2025-12-02;2049000
428888135;BUMP;2026-04-01;
467308592;BUMP;2026-06-17;
467308592;PRICE_REDUCED;2026-07-08;19900000
462731272;BUMP;2026-05-07;
462731272;PRICE_REDUCED;2026-07-08;1799000
463736410;BUMP;2026-05-15;
463736410;PRICE_REDUCED;2026-06-08;1049000
467962002;BUMP;2026-06-24;
467300121;BUMP;2026-06-17;
469167476;BUMP;2026-07-07;
465849917;BUMP;2026-06-03;
465849917;PRICE_REDUCED;2026-06-17;990000
422559732;BUMP;2025-08-18;
422559732;BUMP;2026-03-04;
422559732;PRICE_REDUCED;2026-07-08;2490000
420139787;BUMP;2025-08-05;
420139787;BUMP;2026-03-04;
420139787;PRICE_REDUCED;2026-07-08;2090000
464987458;BUMP;2026-05-26;
464987458;PRICE_REDUCED;2026-06-01;849000
464987458;PRICE_REDUCED;2026-06-15;799000
464987458;PRICE_REDUCED;2026-06-15;790000
468140834;BUMP;2026-06-26;
465941518;BUMP;2026-06-04;
461861590;BUMP;2026-04-30;
461861590;PRICE_REDUCED;2026-06-24;1190000
461767727;BUMP;2026-04-29;
465176950;BUMP;2026-05-28;
465176950;PRICE_REDUCED;2026-06-03;799000
465176950;PRICE_REDUCED;2026-06-24;749000
458137038;BUMP;2026-04-01;
458137038;PRICE_REDUCED;2026-05-04;1499000
458137038;PRICE_REDUCED;2026-06-01;1350000
458137038;PRICE_REDUCED;2026-06-23;1200000
421658358;BUMP;2025-08-16;
421658358;BUMP;2026-03-20;
461111695;BUMP;2026-04-24;
461111695;PRICE_REDUCED;2026-05-19;5815000
461111695;PRICE_RAISED;2026-05-19;5850000
461111695;PRICE_REDUCED;2026-06-01;5700000
461111695;PRICE_REDUCED;2026-06-23;5490000
463628178;PRICE_REDUCED;2026-05-14;7499000
463628178;BUMP;2026-05-14;
459340574;BUMP;2026-04-10;
459340574;PRICE_REDUCED;2026-04-21;889000
459340574;PRICE_REDUCED;2026-05-26;849000
467392210;BUMP;2026-06-18;
462838357;BUMP;2026-05-08;
460791865;BUMP;2026-04-21;
458380820;BUMP;2026-04-03;
461876176;BUMP;2026-04-30;
461876176;PRICE_REDUCED;2026-05-22;860000
461876176;PRICE_REDUCED;2026-05-28;790000
461876176;BUMP;2026-05-28;
422855958;BUMP;2025-08-25;
422855958;PRICE_REDUCED;2026-04-30;849000
422855958;BUMP;2026-04-30;
422855958;PRICE_REDUCED;2026-06-17;799000
465411193;BUMP;2026-05-30;
462841249;BUMP;2026-05-08;
426671101;BUMP;2025-09-12;
426671101;BUMP;2026-03-17;
426671101;PRICE_REDUCED;2026-06-17;3095000
463730470;BUMP;2026-05-15;
465837427;BUMP;2026-06-03;
465301930;BUMP;2026-05-29;
